taxa_id	taxa_lvl	taxa_name
312306	species	Pseudomonas entomophila
313603	species	Maribacter sp. HTCC2170
314282	species	Psychromonas sp. CNPT3
314722	species	Pseudoxanthomonas suwonensis
316068	species	Leadbetterella byssophila
316277	species	Syntrophus aciditrophicus
316279	species	Synechococcus sp. CC9902
316612	genus	Methylibium
316625	genus	Saccharophagus
319458	genus	Leadbetterella
321327	species	Synechococcus sp. JA-3-3Ab
326319	genus	Dokdonia
330214	species	Nitrospira defluvii
330922	species	Psychrobacter cryohalolentis
332162	genus	Candidatus Solibacter
332163	species	Candidatus Solibacter usitatus
332246	genus	Halalkalicoccus
332248	genus	Truepera
332249	species	Truepera radiovictrix
332410	species	Exiguobacterium sibiricum
334543	species	Psychrobacter arcticus
338565	species	Erwinia tasmaniensis
342948	species	Thermococcus onnurineus
342949	species	Pyrococcus sp. NA2
349221	species	Micavibrio aeruginosavorus
351052	species	Alkalilimnicola ehrlichii
357794	species	Psychromonas ingrahamii
359303	species	Shewanella loihica
359407	genus	Methylotenera
359408	species	Methylotenera mobilis
361575	species	Pseudarthrobacter phenanthrenivorans
364316	genus	Verminephrobacter
364317	species	Verminephrobacter eiseniae
364409	genus	Granulibacter
364410	species	Granulibacter bethesdensis
366648	species	Xanthomonas fuscans
375286	species	Janthinobacterium sp. Marseille
375288	genus	Parabacteroides
375928	genus	Natranaerobius
375929	species	Natranaerobius thermophilus
376805	species	Bacteroides salanitronis
379067	species	Streptomyces bingchenggensis
379546	genus	Aciduliprofundum
379547	species	Aciduliprofundum boonei
380021	species	Pseudomonas protegens
387093	species	Sulfurovum sp. NBC37-1
387342	genus	Halopiger
387343	species	Halopiger xanaduensis
390846	genus	Echinicola
390884	species	Echinicola vietnamensis
392733	genus	Terriglobus
392734	species	Terriglobus roseus
393029	genus	Desulfurispirillum
395922	species	Coraliomargarita akajimensis
395961	species	Cyanothece sp. PCC 7425
398743	species	Zunongwangia profunda
399320	genus	Sphaerochaeta
399742	species	Enterobacter sp. 638
400668	species	Marinomonas sp. MWYL1
401618	genus	Candidatus Riesia
401619	species	Candidatus Riesia pediculicola
404011	species	Shewanella piezotolerans
404589	species	Anaeromyxobacter sp. Fw109-5
405212	species	Alicyclobacillus acidocaldarius
411566	genus	Candidatus Midichloria
412963	species	Paraburkholderia rhizoxinica
413496	genus	Cronobacter
413810	species	Halalkalicoccus jeotgali
414878	genus	Catenulispora
416916	genus	Aggregatibacter
417127	genus	Zunongwangia
426114	species	Thiomonas arsenitoxydans
442430	genus	Coraliomargarita
449972	genus	Chelativorans
458032	genus	Chloracidobacterium
458033	species	Chloracidobacterium thermophilum
461876	species	Alkaliphilus oremlandii
466152	genus	Singulisphaera
466153	species	Singulisphaera acidiphila
470934	species	Pantoea vagans
471223	species	Geobacillus sp. WCH70
471826	genus	Candidatus Desulforudis
475087	genus	Methanosphaerula
475088	species	Methanosphaerula palustris
482957	species	Burkholderia lata
497965	species	Cyanothece sp. PCC 7822
498845	genus	Candidatus Korarchaeum
498846	species	Candidatus Korarchaeum cryptofilum
511434	genus	Candidatus Azobacteroides
511435	species	Candidatus Azobacteroides pseudotrichonymphae
511678	genus	Aliivibrio
511745	genus	Methylacidiphilum
511746	species	Methylacidiphilum infernorum
531813	species	Pelagibacterium halotolerans
551759	genus	Aromatoleum
551760	species	Aromatoleum aromaticum
552810	species	Dehalogenimonas lykanthroporepellens
568987	genus	Candidatus Hamiltonella
575200	species	Corynebacterium maris
576610	species	Polynucleobacter necessarius
580165	species	Bacillus cytotoxicus
640512	species	Burkholderia sp. CCGE1003
644281	species	Methanocaldococcus sp. FS406-22
651143	species	Fibrella aestuarina
651456	genus	Kosmotoga
651457	species	Kosmotoga olearia
658061	genus	Candidatus Koribacter
658062	species	Candidatus Koribacter versatilis
670486	genus	Dehalogenimonas
702113	species	Novosphingobium sp. PP1Y
715451	species	Alteromonas sp. SN2
717609	species	Caldicellulosiruptor obsidiansis
756883	species	halophilic archaeon DL31
767891	genus	Candidatus Puniceispirillum
767892	species	Candidatus Puniceispirillum marinum
861914	genus	Fibrella
870903	species	Terriglobus saanensis
875328	species	Mycobacterium sinense
884684	species	Mageeibacillus indolicus
911045	species	Pseudovibrio sp. FO-BEG1
929509	genus	Solitalea
936456	species	Desulfurispirillum indicum
936476	species	Marinomonas posidonica
940557	genus	Granulicella
940614	species	Granulicella mallensis
940615	species	Granulicella tundricola
944547	species	Arcobacter sp. L
983548	species	Dokdonia sp. 4H-3-7-5
991903	genus	Polymorphum
991904	species	Polymorphum gilvum
1003110	species	Verrucosispora maris
1006005	species	Metallosphaera cuprina
1007105	species	Pusillimonas sp. T7-7
1008460	species	Pyrococcus yayanosii
1042156	species	Clostridium sp. SY8519
1042877	species	Thermococcus sp. 4557
1048757	genus	Candidatus Moranella
1082930	genus	Pelagibacterium
1097668	species	Burkholderia sp. YI23
1111069	species	Thermus sp. CCB_US3_UF1
1124597	species	Magnetococcus marinus
1131703	species	Sphaerochaeta globosa
1131707	species	Sphaerochaeta pleomorpha
1148157	species	Acinetobacter oleivorans
1161942	species	Ruminococcus champanellensis
1176649	species	Agrobacterium fabrum
1177712	species	Komagataeibacter medellinensis
1184387	species	Mesotoga prima
1184396	genus	Mesotoga
1203471	species	Geobacter daltonii
1217908	species	Octadecabacter antarcticus
1434011	genus	Komagataeibacter
1481960	genus	Peptoclostridium
1506553	genus	Lachnoclostridium
1508657	genus	Ruminiclostridium
